City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cordoba,AR,75.18,few clouds,-31.4135,-64.1811,Hotel Garden
5,Bengkulu,ID,80.92,overcast clouds,-3.8004,102.2655,Dena Hotel
7,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
9,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Pebbles Inn
15,Bubaque,GW,80.31,broken clouds,11.2833,-15.8333,Chez Julio
17,Rikitea,PF,72.3,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
22,Sambava,MG,72.14,clear sky,-14.2667,50.1667,Royal Sava Hôtel
25,Port-Gentil,GA,77.63,moderate rain,-0.7193,8.7815,Tara-Mé
38,Am Timan,TD,71.49,scattered clouds,11.0297,20.2827,Nimla
46,Cairns,AU,87.75,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
48,Yulara,AU,83.77,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
49,Faanui,PF,79.61,few clouds,-16.4833,-151.75,Oa Oa Lodge
52,Vaini,TO,79.02,scattered clouds,-21.2,-175.2,Keleti International Resort
53,Acapulco,MX,77.76,broken clouds,16.8634,-99.8901,Hotel del Valle
54,Kavieng,PG,85.17,overcast clouds,-2.5744,150.7967,Kavieng Hotel
57,Vanimo,PG,84.79,overcast clouds,-2.6741,141.3028,CBC Guesthouse
59,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
60,Maumere,ID,84.85,broken clouds,-8.6199,122.2111,Bogor
78,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
79,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Grand Bel Air
80,Victoria,HK,77.97,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
86,Atuona,PF,77.83,few clouds,-9.8,-139.0333,Pearl Resort
91,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
93,Mudgee,AU,72.79,scattered clouds,-32.5943,149.5871,Oriental Hotel
99,Teluk Nibung,ID,84.7,broken clouds,3.001,99.8164,Hotel Bengawan
108,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Tropic Hotel
109,Salalah,OM,73.49,few clouds,17.0151,54.0924,Muscat International Hotel
118,Mitsamiouli,KM,77.49,scattered clouds,-11.3847,43.2844,Hotel le Paradis
125,Trinidad,BO,81.79,broken clouds,-14.8333,-64.9,Mi Residencia
127,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
128,Vao,NC,79.32,overcast clouds,-22.6667,167.4833,Nataiwatch
131,Da Nang,VN,84.18,few clouds,16.0678,108.2208,Thanh Thanh Hotel
133,Praia,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
135,Mayumba,GA,75.97,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
136,Mogadishu,SO,79.59,broken clouds,2.0371,45.3438,SYL Hotel
138,Binabalian,PH,82.99,broken clouds,16.4202,119.9279,Dos Flores Resort
149,Lazaro Cardenas,MX,76.55,few clouds,17.9583,-102.2,Hotel Sol del Pacífico
151,Bacolod,PH,85.96,overcast clouds,10.6667,122.95,Northwest Inn
152,Namatanai,PG,85.26,overcast clouds,-3.6667,152.4333,Namatanai Hotel
160,Diamantino,BR,76.14,few clouds,-14.4086,-56.4461,Hotel kayaby
165,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
168,Esperance,AU,76.6,light rain,-33.8667,121.9,Best Western
169,Cidreira,BR,70.54,scattered clouds,-30.1811,-50.2056,Hotel Castelo
175,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
