City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hede,CN,33.7681,120.2517,38.08,50,100,16.8,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,23.02,broken clouds
2,Cordoba,AR,-31.4135,-64.1811,75.18,65,20,11.5,few clouds
3,Jamestown,US,42.097,-79.2353,47.79,83,0,16.11,clear sky
4,Banff,CA,51.1762,-115.5698,-3.62,77,100,1.14,overcast clouds
5,Bengkulu,ID,-3.8004,102.2655,80.92,77,99,4.54,overcast clouds
6,Mehamn,NO,71.0357,27.8492,37.35,93,75,9.22,light intensity drizzle
7,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,45,8.99,scattered clouds
8,Nanortalik,GL,60.1432,-45.2371,31.59,83,100,10.92,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,81.32,74,100,5.7,overcast clouds
10,Clyde River,CA,70.4692,-68.5914,-21.77,69,0,6.91,clear sky
11,New Norfolk,AU,-42.7826,147.0587,65.7,52,100,5.01,overcast clouds
12,East London,ZA,-33.0153,27.9116,69.21,79,16,12.64,few clouds
13,Ushuaia,AR,-54.8,-68.3,46.06,66,75,2.3,broken clouds
14,Yellowknife,CA,62.456,-114.3525,-26.45,68,20,6.91,few clouds
15,Bubaque,GW,11.2833,-15.8333,80.31,63,81,7.96,broken clouds
16,Evensk,RU,61.95,159.2333,14.23,86,99,14.52,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,72.3,72,76,12.93,broken clouds
18,Cherskiy,RU,68.75,161.3,-14.78,97,99,5.12,overcast clouds
19,Lagoa,PT,39.05,-27.9833,61.9,70,100,9.08,overcast clouds
20,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,40,0.0,scattered clouds
21,Pingliang,CN,35.5392,106.6861,18.12,24,100,3.51,overcast clouds
22,Sambava,MG,-14.2667,50.1667,72.14,83,1,4.25,clear sky
23,Komsomolskiy,UZ,40.4272,71.7189,41.72,93,95,4.61,mist
24,Hamilton,US,39.1834,-84.5333,60.44,65,40,13.8,scattered clouds
25,Port-Gentil,GA,-0.7193,8.7815,77.63,84,100,12.75,moderate rain
26,Busselton,AU,-33.65,115.3333,87.91,25,0,9.64,clear sky
27,Bredasdorp,ZA,-34.5322,20.0403,62.37,81,6,5.01,clear sky
28,Nambour,AU,-26.6333,152.95,69.82,97,100,5.99,moderate rain
29,Lebu,CL,-37.6167,-73.65,54.25,85,93,18.03,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,64.8,91,11,6.64,few clouds
31,Svetlogorsk,BY,52.6333,29.7333,26.71,95,100,6.64,light snow
32,Torbay,CA,47.6666,-52.7314,27.57,74,75,13.8,broken clouds
33,Nayoro,JP,44.3506,142.4578,28.89,73,100,15.84,overcast clouds
